GeneID,unknown
ENSG00000039987,9
ENSG00000040199,844
ENSG00000040275,722
ENSG00000040341,3142
ENSG00000040487,2325
ENSG00000040531,2851
ENSG00000040608,249
ENSG00000040633,11671
ENSG00000040731,0
ENSG00000040933,16860
ENSG00000041353,1120
ENSG00000041357,9769
ENSG00000041515,25
ENSG00000041802,3724
ENSG00000041880,982
ENSG00000041982,1
ENSG00000041988,2884
ENSG00000042062,868
ENSG00000042088,1650
ENSG00000042286,734
ENSG00000042304,0
ENSG00000042317,219
ENSG00000042429,1354
ENSG00000042445,4915
ENSG00000042493,42650
ENSG00000042753,23882
ENSG00000042781,0
ENSG00000042813,0
ENSG00000042832,385
ENSG00000042980,2080
ENSG00000043039,0
ENSG00000043093,8888
ENSG00000043143,10098
ENSG00000043355,0
ENSG00000043462,50815
ENSG00000043514,1453
ENSG00000043591,47
ENSG00000044012,0
ENSG00000044090,2479
ENSG00000044115,16410
ENSG00000044446,13049
ENSG00000044459,574
ENSG00000044524,1
ENSG00000044574,42440
ENSG00000046604,11
ENSG00000046647,986
ENSG00000046651,3469
ENSG00000046653,23
ENSG00000046774,4
ENSG00000046889,2
ENSG00000047056,9053
ENSG00000047188,3178
ENSG00000047230,657
ENSG00000047249,4991
ENSG00000047315,14861
ENSG00000047346,4953
ENSG00000047365,3935
ENSG00000047410,16787
ENSG00000047457,28
ENSG00000047578,7971
ENSG00000047579,2677
ENSG00000047597,9349
ENSG00000047617,16
ENSG00000047621,1652
ENSG00000047634,369
ENSG00000047644,21013
ENSG00000047648,568
ENSG00000047662,199
ENSG00000047849,7816
ENSG00000047932,2921
ENSG00000047936,0
ENSG00000048028,2930
ENSG00000048052,1934
ENSG00000048140,9916
ENSG00000048162,1840
ENSG00000048342,68
ENSG00000048392,8855
ENSG00000048405,3784
ENSG00000048462,488
ENSG00000048471,4903
ENSG00000048540,0
ENSG00000048544,3737
ENSG00000048545,0
ENSG00000048649,5815
ENSG00000048707,7086
ENSG00000048740,68925
ENSG00000048828,28218
ENSG00000048991,2552
ENSG00000049089,1913
ENSG00000049130,11
ENSG00000049167,633
ENSG00000049192,62
ENSG00000049239,19225
ENSG00000049245,21684
ENSG00000049246,307
ENSG00000049247,41
ENSG00000049249,1340
ENSG00000049283,0
ENSG00000049323,758
ENSG00000049449,1823
ENSG00000049540,2
ENSG00000049541,3791
ENSG00000049618,6459
ENSG00000049656,15333
ENSG00000049759,4226
ENSG00000049768,650
ENSG00000049769,1108
ENSG00000049860,18982
ENSG00000049883,1201
ENSG00000050030,53
ENSG00000050130,6221
ENSG00000050165,35
ENSG00000050327,393
ENSG00000050344,809
ENSG00000050393,2527
ENSG00000050405,829
ENSG00000050426,5906
ENSG00000050438,499
ENSG00000050555,55
ENSG00000050628,26
ENSG00000050730,101
ENSG00000050748,2731
ENSG00000050767,133
ENSG00000050820,9
ENSG00000051009,18019
ENSG00000051108,19775
ENSG00000051128,4566
ENSG00000051180,355
ENSG00000051341,187
ENSG00000051382,8553
ENSG00000051523,294312
ENSG00000051596,1389
ENSG00000051620,22344
ENSG00000051825,1604
ENSG00000052126,395
ENSG00000052344,48
ENSG00000052723,4114
ENSG00000052749,25364
ENSG00000052795,1735
ENSG00000052802,2332
ENSG00000052841,9159
ENSG00000052850,0
ENSG00000053108,252
ENSG00000053254,15625
ENSG00000053328,3
ENSG00000053371,4207
ENSG00000053372,2753
ENSG00000053438,45
ENSG00000053501,2818
ENSG00000053524,168
ENSG00000053702,89
ENSG00000053747,2
ENSG00000053770,5317
ENSG00000053900,3563
ENSG00000053918,11998
ENSG00000054116,10495
ENSG00000054118,28279
ENSG00000054148,3771
ENSG00000054179,152
ENSG00000054219,3673
ENSG00000054267,10317
ENSG00000054277,2018
ENSG00000054282,2816
ENSG00000054356,214
ENSG00000054392,240
ENSG00000054523,12774
ENSG00000054598,93
ENSG00000054611,9888
ENSG00000054654,8080
ENSG00000054690,22
ENSG00000054793,3264
ENSG00000054796,4
ENSG00000054803,4
ENSG00000054938,0
ENSG00000054965,7918
ENSG00000054967,27767
ENSG00000054983,7433
ENSG00000055044,3583
ENSG00000055070,36154
ENSG00000055118,2076
ENSG00000055130,5430
ENSG00000055147,3493
ENSG00000055163,39186
ENSG00000055208,17099
ENSG00000055211,4872
ENSG00000055332,13482
ENSG00000055483,4787
ENSG00000055609,11220
ENSG00000055732,43
ENSG00000055813,0
ENSG00000055917,22067
ENSG00000055950,4717
ENSG00000055955,143
ENSG00000055957,76
ENSG00000056050,991
ENSG00000056097,9905
ENSG00000056277,447
ENSG00000056291,0
ENSG00000056487,0
ENSG00000056558,7288
ENSG00000056586,7104
ENSG00000056736,78
ENSG00000056972,1405
ENSG00000056998,2
ENSG00000057019,57
ENSG00000057149,0
ENSG00000057252,10863
ENSG00000057294,390
ENSG00000057468,30
ENSG00000057593,8
ENSG00000057608,55687
ENSG00000057657,5650
ENSG00000057663,2930
ENSG00000057704,12854
ENSG00000057757,10222
ENSG00000057935,1104
ENSG00000058056,666
ENSG00000058063,27437
ENSG00000058085,1
ENSG00000058091,3595
ENSG00000058262,28179
ENSG00000058272,23516
ENSG00000058335,48
ENSG00000058404,3
ENSG00000058453,2990
ENSG00000058600,3317
ENSG00000058668,18600
ENSG00000058673,59
ENSG00000058729,1853
ENSG00000058799,11304
ENSG00000058804,1329
ENSG00000058866,1400
ENSG00000059122,7871
ENSG00000059145,7808
ENSG00000059377,64825
ENSG00000059378,7087
ENSG00000059573,1831
ENSG00000059588,2113
ENSG00000059691,1282
ENSG00000059728,175912
ENSG00000059758,4531
ENSG00000059769,639
ENSG00000059804,136657
ENSG00000059915,502
ENSG00000060069,15715
ENSG00000060138,278000
ENSG00000060140,235
ENSG00000060237,49378
ENSG00000060339,5661
ENSG00000060491,43218
ENSG00000060558,8578
ENSG00000060566,36
ENSG00000060642,2302
ENSG00000060656,66
ENSG00000060688,4474
ENSG00000060709,21
ENSG00000060718,0
ENSG00000060749,1585
ENSG00000060762,3441
ENSG00000060971,36523
ENSG00000060982,3077
ENSG00000061273,37733
ENSG00000061337,61
ENSG00000061455,0
ENSG00000061492,0
ENSG00000061656,74
ENSG00000061676,528
ENSG00000061794,3681
ENSG00000061918,690
ENSG00000061936,8160
ENSG00000061938,33932
ENSG00000061987,6487
ENSG00000062038,6
ENSG00000062096,0
ENSG00000062194,15873
ENSG00000062282,74838
ENSG00000062370,26
ENSG00000062485,15936
ENSG00000062524,610
ENSG00000062582,43
ENSG00000062598,12935
ENSG00000062650,9858
ENSG00000062716,127177
ENSG00000062725,4867
ENSG00000062822,2508
ENSG00000063015,23
ENSG00000063046,78028
ENSG00000063127,706
ENSG00000063169,5290
ENSG00000063176,3286
ENSG00000063177,103120
ENSG00000063180,458
ENSG00000063241,1936
ENSG00000063244,29663
ENSG00000063245,39958
ENSG00000063322,9159
ENSG00000063515,0
ENSG00000063587,1357
ENSG00000063601,6081
ENSG00000063660,112
ENSG00000063761,1339
ENSG00000063854,46985
ENSG00000063978,14013
ENSG00000064012,39491
ENSG00000064042,17
ENSG00000064102,2223
ENSG00000064115,6058
ENSG00000064195,2
ENSG00000064199,193
ENSG00000064201,7518
ENSG00000064205,0
ENSG00000064218,0
ENSG00000064225,3792
ENSG00000064270,1297
ENSG00000064300,54
ENSG00000064309,83
ENSG00000064313,2931
ENSG00000064393,7110
ENSG00000064419,14116
ENSG00000064490,12481
ENSG00000064545,1304
ENSG00000064547,43973
ENSG00000064601,58874
ENSG00000064607,10495
ENSG00000064651,578
ENSG00000064652,465
ENSG00000064655,24
ENSG00000064666,174680
ENSG00000064687,49938
ENSG00000064692,1
ENSG00000064703,1994
ENSG00000064726,6349
ENSG00000064763,9723
ENSG00000064787,41
ENSG00000064835,1
ENSG00000064886,1022
ENSG00000064932,98207
ENSG00000064933,1110
ENSG00000064961,10402
ENSG00000064989,331
ENSG00000064995,3759
ENSG00000064999,6769
ENSG00000065000,22248
ENSG00000065029,3414
ENSG00000065054,497
ENSG00000065057,1074
ENSG00000065060,2194
ENSG00000065135,33278
ENSG00000065150,6957
ENSG00000065154,10048
ENSG00000065183,2162
ENSG00000065243,13334
ENSG00000065268,2824
ENSG00000065308,3428
ENSG00000065320,15
ENSG00000065325,0
ENSG00000065328,224
ENSG00000065357,13934
ENSG00000065361,22
ENSG00000065371,0
ENSG00000065413,19026
ENSG00000065427,18530
ENSG00000065457,3440
ENSG00000065485,867
ENSG00000065491,5063
ENSG00000065518,8410
ENSG00000065526,14863
ENSG00000065534,1509
ENSG00000065548,5199
ENSG00000065559,9037
ENSG00000065600,1070
ENSG00000065609,1
ENSG00000065613,11023
ENSG00000065615,24659
ENSG00000065618,1390
ENSG00000065621,221
ENSG00000065665,2025
ENSG00000065675,2662
ENSG00000065717,329
ENSG00000065802,6119
ENSG00000065809,25753
ENSG00000065833,527
ENSG00000065882,20594
ENSG00000065883,8169
ENSG00000065911,6448
ENSG00000065923,1140
ENSG00000065970,8014
ENSG00000065978,174357
ENSG00000065989,2978
ENSG00000066027,30094
ENSG00000066032,4
ENSG00000066044,7221
ENSG00000066056,42
ENSG00000066084,12341
ENSG00000066117,7359
ENSG00000066135,6993
ENSG00000066136,16835
ENSG00000066185,38
ENSG00000066230,62
ENSG00000066248,1
ENSG00000066279,364
ENSG00000066294,6173
ENSG00000066322,19055
ENSG00000066336,279317
ENSG00000066379,3211
ENSG00000066382,21
ENSG00000066405,1
ENSG00000066422,5770
ENSG00000066427,5691
ENSG00000066455,4945
ENSG00000066468,74
ENSG00000066557,1384
ENSG00000066583,1799
